method,role,taxonomy_category,representative_paper,fidelity,seed,split,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1
mde_mil,representative,hybrid approaches,Ling et al.; MDE-MIL,two-expert MIL adaptation,1,val,0.8520883893217525,0.8329722582805744,0.8066841091401509,0.8329722582805744,0.8145059163974726
mde_mil,representative,hybrid approaches,Ling et al.; MDE-MIL,two-expert MIL adaptation,1,test,0.8506261180679785,0.8349451537582444,0.7972294032680354,0.8349451537582444,0.8088320055224477
mde_mil,representative,hybrid approaches,Ling et al.; MDE-MIL,two-expert MIL adaptation,2,val,0.8604116068004601,0.8176417182944589,0.8151094425766732,0.8176417182944589,0.8126872923885643
mde_mil,representative,hybrid approaches,Ling et al.; MDE-MIL,two-expert MIL adaptation,2,test,0.8525993102567377,0.8043683467921063,0.8025179300763178,0.8043683467921063,0.797386298879851
sc_mil,representative,representation and architecture,Juyal et al.; SC-MIL,supervised-contrastive MIL adaptation,0,val,0.871182108626198,0.814215460085844,0.8271086577485312,0.814215460085844,0.817859910855717
sc_mil,representative,representation and architecture,Juyal et al.; SC-MIL,supervised-contrastive MIL adaptation,0,test,0.8756867254375879,0.8137522766306439,0.8350076647181834,0.8137522766306439,0.8175221603064773
sc_mil,representative,representation and architecture,Juyal et al.; SC-MIL,supervised-contrastive MIL adaptation,1,val,0.8773789756035254,0.8299572465186298,0.8413873995814117,0.8299572465186298,0.832244878085933
sc_mil,representative,representation and architecture,Juyal et al.; SC-MIL,supervised-contrastive MIL adaptation,1,test,0.8792486583184258,0.8438554661007348,0.851784515967813,0.8438554661007348,0.8414841164046918
sc_mil,representative,representation and architecture,Juyal et al.; SC-MIL,supervised-contrastive MIL adaptation,2,val,0.8854659337849929,0.8386526590208453,0.8443430383228443,0.8386526590208453,0.8370257883031398
sc_mil,representative,representation and architecture,Juyal et al.; SC-MIL,supervised-contrastive MIL adaptation,2,test,0.8777621663047643,0.8138509204113169,0.8282120925460821,0.8138509204113169,0.8127689534308868
